DATE;VALUE
01.01.2010;1219
01.02.2010;1477
01.03.2010;1863
01.04.2010;1554
01.05.2010;1443
01.06.2010;1424
01.07.2010;1494
01.08.2010;1197
01.09.2010;1344
01.10.2010;1490
01.11.2010;1688
01.12.2010;1922
01.01.2011;1198
01.02.2011;1486
01.03.2011;1340
01.04.2011;1274
01.05.2011;1143
01.06.2011;1216
01.07.2011;1574
01.08.2011;1880
01.09.2011;1879
01.10.2011;2278
01.11.2011;2349
01.12.2011;2394
01.01.2012;1882
01.02.2012;1903
01.03.2012;1981
01.04.2012;1845
01.05.2012;1403
01.06.2012;1412
01.07.2012;1288
01.08.2012;1570.2
01.09.2012;1827
01.10.2012;1984
01.11.2012;1779
01.12.2012;1486
01.01.2013;870
01.02.2013;1021
01.03.2013;975
01.04.2013;958
01.05.2013;776
01.06.2013;806
01.07.2013;1058
01.08.2013;1679
01.09.2013;1896
01.10.2013;2059
01.11.2013;2036
01.12.2013;1941
01.01.2014;1148
01.02.2014;1532
01.03.2014;1445
01.04.2014;1732
01.05.2014;1262
01.06.2014;762
01.07.2014;1319
01.08.2014;2007
01.09.2014;2170
01.10.2014;2545
01.11.2014;2397
01.12.2014;2282
01.01.2015;1770.5
01.02.2015;1704
01.03.2015;1739
01.04.2015;1392
01.05.2015;1153
01.06.2015;1218
01.07.2015;1241
01.08.2015;1891
01.09.2015;2086.7
01.10.2015;2393
01.11.2015;2236.4
01.12.2015;2353.6
01.01.2016;1517.2
01.02.2016;2003.8
01.03.2016;2111.5
01.04.2016;1824
01.05.2016;1232.8
01.06.2016;981.2
01.07.2016;1258
01.08.2016;1842.1
01.09.2016;2050.6
01.10.2016;2147.2
01.11.2016;2306
01.12.2016;2337.3
01.01.2017;1754.7
01.02.2017;1782.1
01.03.2017;2099.6
01.04.2017;1914.5
01.05.2017;1583.1
01.06.2017;1347.9
01.07.2017;1435.1
01.08.2017;2124
01.09.2017;2421.7
01.10.2017;2697.3
01.11.2017;2796.7
01.12.2017;2789.3
01.01.2018;2358.6
01.02.2018;2519.7
01.03.2018;2883.4
01.04.2018;2867.8
01.05.2018;2722
01.06.2018;2260
01.07.2018;1709.2
01.08.2018;2165.8
01.09.2018;2347.9
01.10.2018;2596
01.11.2018;2586.9
01.12.2018;2701.9
01.01.2019;2208.5
01.02.2019;2337.1
01.03.2019;2145
01.04.2019;1561.6
01.05.2019;1147.7
01.06.2019;940.6
01.07.2019;1632.5
01.08.2019;2192.3
01.09.2019;2333.4
01.10.2019;2606.7
01.11.2019;2527.5
01.12.2019;2491
